Loading route 86d00e12925f4df7|2022-06-25--12-10-57
Loading route 86d00e12925f4df7|2022-06-25--12-18-27
Loading route 86d00e12925f4df7|2022-06-25--12-29-00
Address counts:
0x4c: 19290
0x25c: 19290
0x422: 19290
0x423: 19290
0x178: 19290
0x232: 19290
0x455: 19290
0x230: 19290
0x176: 19289
0x5c: 19288
0x3d0: 19280
0x414: 19252
0x416: 19250
0x40a: 9814
0x18a: 9710
0x3b3: 3930
0x76: 3850
0x3eb: 2734
0x3e2: 2664
0x417: 2022
0x59e: 1980
0x3d8: 1972
0x3d9: 1970
0x3c3: 1968
0x3cd: 1964
0x3e5: 1960
0x81: 1958
0x43a: 1936
0x5b5: 1934
0x438: 1934
0x41e: 1932
0x3c1: 1932
0x3c2: 1932
0x350: 1930
0x3e0: 1930
0x44c: 1930
0x35f: 1930
0x3e6: 1930
0x431: 1930
0x5b3: 1928
0x454: 1928
0x466: 1928
0x420: 1926
0x596: 1926
0x462: 1910
0x05: 952
0x06: 952
0x07: 952
0x08: 952
0x21: 951
0x22: 951
0x105: 951
0x03: 929
0x201: 929
0x70e: 772
0x768: 734
0x730: 688
0x737: 666
0x738: 658
0x760: 547
0x706: 529
0x73f: 516
0x76c: 384
0x764: 319
0x724: 228
0x72c: 204
0x7df: 27
0x720: 24
0x721: 24
0x7e0: 23
0x791: 21
0x740: 21
0x7e8: 20
0x7c4: 20
0x44e: 20
0x7e3: 18
0x7c6: 18
0x7b2: 18
0x783: 18
0x775: 18
0x765: 18
0x754: 18
0x751: 18
0x741: 18
0x734: 18
0x733: 18
0x732: 18
0x727: 18
0x725: 18
0x7b0: 6
0x750: 6
0x7e1: 5
0x7d1: 5
0x7d8: 3
0x7a1: 3
0x700: 3
0x707: 3
0x742: 3
0x18dad0f1: 3
0x743: 3
0x7d0: 2
0x7d4: 2
0x18db33f1: 1
0x72e: 1
0x746: 1
0x787: 1
0x18da10f1: 1
0x18da0bf1: 1
0x18da1ef1: 1
0x18da2bf1: 1
0x18da28f1: 1
0x18da30f1: 1
0x18da3af1: 1
0x18da53f1: 1
0x18da60f1: 1
0x18da61f1: 1
0x18dab0f1: 1
0x18dab5f1: 1
0x18daeff1: 1
0x715: 1
0x712: 1
0x757: 1

Filtering CAN messages: 6727 CAN messages
New address counts:

Processing 0x7df ISOTPFrame.Single(size=3, data=\x22\xf1\x90)
Starting new packet for 0x7df
Finished packet on 0x7df

Processing 0x7d8 ISOTPFrame.First(size=27, data=\x62\xf1\x90\x57\x46\x30)
Starting new packet for 0x7d8

Processing 0x72e ISOTPFrame.First(size=27, data=\x62\xf1\x90\x57\x46\x30)
Starting new packet for 0x72e

Processing 0x7e8 ISOTPFrame.First(size=27, data=\x62\xf1\x90\x57\x46\x30)
Starting new packet for 0x7e8

Processing 0x7e8 ISOTPFrame.Consecutive(index=1, data=\x4e\x58\x58\x47\x43\x48\x4e)
Appending CONSECUTIVE frame to packet on 0x7e8

Processing 0x7e8 ISOTPFrame.Consecutive(index=2, data=\x4a\x52\x36\x39\x37\x31\x32)
Appending CONSECUTIVE frame to packet on 0x7e8

Processing 0x7e8 ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x7e8
Finished packet on 0x7e8

Processing 0x7b0 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x7b0
Finished packet on 0x7b0

Processing 0x746 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x746
Finished packet on 0x746

Processing 0x787 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x787
Finished packet on 0x787

Processing 0x7e0 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x7e1 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x7e1
Finished packet on 0x7e1

Processing 0x7e8 ISOTPFrame.Single(size=2, data=\x7e\x00)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x7e0 ISOTPFrame.Single(size=3, data=\x22\xf1\x82)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x7e8 ISOTPFrame.Single(size=3, data=\x7f\x22\x31)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x7d0 ISOTPFrame.Single(size=3, data=\x22\xf1\x00)
Starting new packet for 0x7d0
Finished packet on 0x7d0

Processing 0x7d4 ISOTPFrame.Single(size=3, data=\x22\xf1\x00)
Starting new packet for 0x7d4
Finished packet on 0x7d4

Processing 0x7c4 ISOTPFrame.Single(size=3, data=\x22\xf1\x00)
Starting new packet for 0x7c4
Finished packet on 0x7c4

Processing 0x7e0 ISOTPFrame.Single(size=3, data=\x22\xf1\x00)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x7e1 ISOTPFrame.Single(size=3, data=\x22\xf1\x00)
Starting new packet for 0x7e1
Finished packet on 0x7e1

Processing 0x7d1 ISOTPFrame.Single(size=3, data=\x22\xf1\x00)
Starting new packet for 0x7d1
Finished packet on 0x7d1

Processing 0x7b0 ISOTPFrame.Single(size=3, data=\x22\xf1\x00)
Starting new packet for 0x7b0
Finished packet on 0x7b0

Processing 0x7d8 ISOTPFrame.Single(size=3, data=\x7f\x22\x31)
Appending SINGLE frame to packet on 0x7d8
Error appending ISOTPFrame.Single(size=3, data=\x7f\x22\x31) to packet: Invalid frame type: Tried to append a SINGLE frame to a multi-frame packet
Oops! Got SINGLE frame in middle of multi-frame packet on 0x7d8
	ISOTPPacket(address=0x7d8, data=\x62\xf1\x90\x57\x46\x30)
		ISOTPFrame.First(size=27, data=\x62\xf1\x90\x57\x46\x30)
	(Submitting packet when 21 bytes too short)
Starting new packet for 0x7d8
Finished packet on 0x7d8

Processing 0x7e8 ISOTPFrame.Single(size=3, data=\x7f\x22\x31)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x7d0 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x81\xf1\x00)
Starting new packet for 0x7d0
Finished packet on 0x7d0

Processing 0x7d4 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x81\xf1\x00)
Starting new packet for 0x7d4
Finished packet on 0x7d4

Processing 0x7c4 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x81\xf1\x00)
Starting new packet for 0x7c4
Finished packet on 0x7c4

Processing 0x7e0 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x81\xf1\x00)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x7e1 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x81\xf1\x00)
Starting new packet for 0x7e1
Finished packet on 0x7e1

Processing 0x7d1 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x81\xf1\x00)
Starting new packet for 0x7d1
Finished packet on 0x7d1

Processing 0x7b0 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x81\xf1\x00)
Starting new packet for 0x7b0
Finished packet on 0x7b0

Processing 0x7e8 ISOTPFrame.Single(size=3, data=\x7f\x22\x31)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x7d8 ISOTPFrame.Single(size=3, data=\x7f\x22\x31)
Starting new packet for 0x7d8
Finished packet on 0x7d8

Processing 0x7b0 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x7b0
Finished packet on 0x7b0

Processing 0x791 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x791
Finished packet on 0x791

Processing 0x7a1 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x7a1
Finished packet on 0x7a1

Processing 0x7e0 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x700 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x700
Finished packet on 0x700

Processing 0x7d1 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x7d1
Finished packet on 0x7d1

Processing 0x7e8 ISOTPFrame.Single(size=3, data=\x7f\x3e\x13)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x7b0 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x7b0
Finished packet on 0x7b0

Processing 0x791 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x791
Finished packet on 0x791

Processing 0x7a1 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x7a1
Finished packet on 0x7a1

Processing 0x7e0 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x700 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x700
Finished packet on 0x700

Processing 0x7d1 ISOTPFrame.Single(size=1, data=\x3e)
Starting new packet for 0x7d1
Finished packet on 0x7d1

Processing 0x7e8 ISOTPFrame.Single(size=3, data=\x7f\x3e\x13)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x7b0 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x7b0
Finished packet on 0x7b0

Processing 0x791 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x791
Finished packet on 0x791

Processing 0x7a1 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x7a1
Finished packet on 0x7a1

Processing 0x7e0 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x700 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x700
Finished packet on 0x700

Processing 0x7d1 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x7d1
Finished packet on 0x7d1

Processing 0x7e8 ISOTPFrame.Single(size=2, data=\x7e\x00)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x7e0 ISOTPFrame.Single(size=2, data=\x10\x01)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x7e8 ISOTPFrame.Single(size=6, data=\x50\x01\x00\x32\x01\xf4)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x7e0 ISOTPFrame.Single(size=2, data=\x10\x03)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x7e8 ISOTPFrame.Single(size=6, data=\x50\x03\x00\x32\x01\xf4)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x7e0 ISOTPFrame.Single(size=3, data=\x22\xf1\x81)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x7e8 ISOTPFrame.Single(size=3, data=\x7f\x22\x31)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x715 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x89\xf1\x82)
Starting new packet for 0x715
Finished packet on 0x715

Processing 0x712 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x89\xf1\x82)
Starting new packet for 0x712
Finished packet on 0x712

Processing 0x757 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x89\xf1\x82)
Starting new packet for 0x757
Finished packet on 0x757

Processing 0x7e0 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x89\xf1\x82)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x7e1 ISOTPFrame.Single(size=7, data=\x22\xf1\x87\xf1\x89\xf1\x82)
Starting new packet for 0x7e1
Finished packet on 0x7e1

Processing 0x7e8 ISOTPFrame.Single(size=3, data=\x7f\x22\x31)
Starting new packet for 0x7e8
Finished packet on 0x7e8

Processing 0x730 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x730
Finished packet on 0x730

Processing 0x7e0 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x764 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x764
Finished packet on 0x764

Processing 0x760 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x760
Finished packet on 0x760

Processing 0x706 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x706
Finished packet on 0x706

Processing 0x7e1 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x7e1
Finished packet on 0x7e1

Processing 0x7e8 ISOTPFrame.First(size=27, data=\x62\xf1\x88\x4a\x58\x36)
Starting new packet for 0x7e8

Processing 0x7e8 ISOTPFrame.Consecutive(index=1, data=\x41\x2d\x31\x34\x43\x32\x30)
Appending CONSECUTIVE frame to packet on 0x7e8

Processing 0x7e8 ISOTPFrame.Consecutive(index=2, data=\x34\x2d\x42\x50\x4c\x00\x00)
Appending CONSECUTIVE frame to packet on 0x7e8

Processing 0x7e8 ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x7e8
Finished packet on 0x7e8

Processing 0x707 ISOTPFrame.Single(size=2, data=\x10\xc0)
Starting new packet for 0x707
Finished packet on 0x707

Processing 0x742 ISOTPFrame.Single(size=2, data=\x10\xc0)
Starting new packet for 0x742
Finished packet on 0x742

Processing 0x7e0 ISOTPFrame.Single(size=2, data=\x10\xc0)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x740 ISOTPFrame.Single(size=2, data=\x10\xc0)
Starting new packet for 0x740
Finished packet on 0x740

Processing 0x743 ISOTPFrame.Single(size=2, data=\x10\xc0)
Starting new packet for 0x743
Finished packet on 0x743

Processing 0x707 ISOTPFrame.Single(size=2, data=\x10\xc0)
Starting new packet for 0x707
Finished packet on 0x707

Processing 0x742 ISOTPFrame.Single(size=2, data=\x10\xc0)
Starting new packet for 0x742
Finished packet on 0x742

Processing 0x7e0 ISOTPFrame.Single(size=2, data=\x10\xc0)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x740 ISOTPFrame.Single(size=2, data=\x10\xc0)
Starting new packet for 0x740
Finished packet on 0x740

Processing 0x743 ISOTPFrame.Single(size=2, data=\x10\xc0)
Starting new packet for 0x743
Finished packet on 0x743

Processing 0x707 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x707
Finished packet on 0x707

Processing 0x742 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x742
Finished packet on 0x742

Processing 0x7e0 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x740 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x740
Finished packet on 0x740

Processing 0x743 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x743
Finished packet on 0x743

Processing 0x7e8 ISOTPFrame.First(size=27, data=\x62\xf1\x88\x4a\x58\x36)
Starting new packet for 0x7e8

Processing 0x720 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x720
Finished packet on 0x720

Processing 0x720 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x720
Finished packet on 0x720

Processing 0x721 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x721
Finished packet on 0x721

Processing 0x721 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x721
Finished packet on 0x721

Processing 0x730 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x730
Finished packet on 0x730

Processing 0x730 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x730
Finished packet on 0x730

Processing 0x760 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x760
Finished packet on 0x760

Processing 0x760 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x760
Finished packet on 0x760

Processing 0x764 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x764
Finished packet on 0x764

Processing 0x764 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x764
Finished packet on 0x764

Processing 0x706 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x706
Finished packet on 0x706

Processing 0x706 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x706
Finished packet on 0x706

Processing 0x7e0 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x7e0 ISOTPFrame.Single(size=2, data=\x3e\x00)
Starting new packet for 0x7e0
Finished packet on 0x7e0

Processing 0x738 ISOTPFrame.Single(size=2, data=\x7e\x00)
Starting new packet for 0x738
Finished packet on 0x738

Processing 0x738 ISOTPFrame.Single(size=2, data=\x7e\x00)
Starting new packet for 0x738
Finished packet on 0x738

Processing 0x730 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x730
Finished packet on 0x730

Processing 0x730 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x730
Finished packet on 0x730

Processing 0x70e ISOTPFrame.Single(size=2, data=\x7e\x00)
Starting new packet for 0x70e
Finished packet on 0x70e

Processing 0x70e ISOTPFrame.Single(size=2, data=\x7e\x00)
Starting new packet for 0x70e
Finished packet on 0x70e

Processing 0x768 ISOTPFrame.Single(size=2, data=\x7e\x00)
Starting new packet for 0x768
Finished packet on 0x768

Processing 0x768 ISOTPFrame.Single(size=2, data=\x7e\x00)
Starting new packet for 0x768
Finished packet on 0x768

Processing 0x738 ISOTPFrame.First(size=27, data=\x62\xf1\x88\x4a\x58\x36)
Starting new packet for 0x738

Processing 0x738 ISOTPFrame.First(size=27, data=\x62\xf1\x88\x4a\x58\x36)
Appending FIRST frame to packet on 0x738
Ignoring duplicate first frame

Processing 0x76c ISOTPFrame.Single(size=2, data=\x7e\x00)
Starting new packet for 0x76c
Finished packet on 0x76c

Processing 0x76c ISOTPFrame.Single(size=2, data=\x7e\x00)
Starting new packet for 0x76c
Finished packet on 0x76c

Processing 0x760 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x760
Finished packet on 0x760

Processing 0x760 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x760
Finished packet on 0x760

Processing 0x764 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x764
Finished packet on 0x764

Processing 0x764 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x764
Finished packet on 0x764

Processing 0x706 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x706
Finished packet on 0x706

Processing 0x706 ISOTPFrame.Single(size=3, data=\x22\xf1\x88)
Starting new packet for 0x706
Finished packet on 0x706

Processing 0x768 ISOTPFrame.First(size=27, data=\x62\xf1\x88\x4a\x58\x36)
Starting new packet for 0x768

Processing 0x768 ISOTPFrame.First(size=27, data=\x62\xf1\x88\x4a\x58\x36)
Appending FIRST frame to packet on 0x768
Ignoring duplicate first frame

Processing 0x76c ISOTPFrame.First(size=27, data=\x62\xf1\x88\x4a\x58\x37)
Starting new packet for 0x76c

Processing 0x76c ISOTPFrame.First(size=27, data=\x62\xf1\x88\x4a\x58\x37)
Appending FIRST frame to packet on 0x76c
Ignoring duplicate first frame

Processing 0x738 ISOTPFrame.Consecutive(index=1, data=\x43\x2d\x31\x34\x44\x30\x30)
Appending CONSECUTIVE frame to packet on 0x738

Processing 0x738 ISOTPFrame.Consecutive(index=1, data=\x43\x2d\x31\x34\x44\x30\x30)
Appending CONSECUTIVE frame to packet on 0x738
Ignoring duplicate consecutive frame

Processing 0x70e ISOTPFrame.First(size=27, data=\x62\xf1\x88\x4a\x58\x37)
Starting new packet for 0x70e

Processing 0x70e ISOTPFrame.First(size=27, data=\x62\xf1\x88\x4a\x58\x37)
Appending FIRST frame to packet on 0x70e
Ignoring duplicate first frame

Processing 0x768 ISOTPFrame.Consecutive(index=1, data=\x31\x2d\x32\x44\x30\x35\x33)
Appending CONSECUTIVE frame to packet on 0x768

Processing 0x768 ISOTPFrame.Consecutive(index=1, data=\x31\x2d\x32\x44\x30\x35\x33)
Appending CONSECUTIVE frame to packet on 0x768
Ignoring duplicate consecutive frame

Processing 0x738 ISOTPFrame.Consecutive(index=2, data=\x33\x2d\x41\x48\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x738

Processing 0x738 ISOTPFrame.Consecutive(index=2, data=\x33\x2d\x41\x48\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x738
Ignoring duplicate consecutive frame

Processing 0x768 ISOTPFrame.Consecutive(index=2, data=\x2d\x43\x4a\x00\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x768

Processing 0x768 ISOTPFrame.Consecutive(index=2, data=\x2d\x43\x4a\x00\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x768
Ignoring duplicate consecutive frame

Processing 0x738 ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x738
Finished packet on 0x738

Processing 0x738 ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00)
Error creating ISOTPPacket from ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00): Cannot start a packet with a CONSECUTIVE frame

Processing 0x76c ISOTPFrame.Consecutive(index=1, data=\x54\x2d\x31\x34\x44\x30\x34)
Appending CONSECUTIVE frame to packet on 0x76c

Processing 0x76c ISOTPFrame.Consecutive(index=1, data=\x54\x2d\x31\x34\x44\x30\x34)
Appending CONSECUTIVE frame to packet on 0x76c
Ignoring duplicate consecutive frame

Processing 0x70e ISOTPFrame.Consecutive(index=1, data=\x54\x2d\x31\x34\x46\x33\x39)
Appending CONSECUTIVE frame to packet on 0x70e

Processing 0x70e ISOTPFrame.Consecutive(index=1, data=\x54\x2d\x31\x34\x46\x33\x39)
Appending CONSECUTIVE frame to packet on 0x70e
Ignoring duplicate consecutive frame

Processing 0x768 ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x768
Finished packet on 0x768

Processing 0x768 ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00)
Error creating ISOTPPacket from ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00): Cannot start a packet with a CONSECUTIVE frame

Processing 0x76c ISOTPFrame.Consecutive(index=2, data=\x39\x2d\x41\x43\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x76c

Processing 0x76c ISOTPFrame.Consecutive(index=2, data=\x39\x2d\x41\x43\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x76c
Ignoring duplicate consecutive frame

Processing 0x70e ISOTPFrame.Consecutive(index=2, data=\x37\x2d\x41\x48\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x70e

Processing 0x70e ISOTPFrame.Consecutive(index=2, data=\x37\x2d\x41\x48\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x70e
Ignoring duplicate consecutive frame

Processing 0x70e ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x70e
Finished packet on 0x70e

Processing 0x70e ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00)
Error creating ISOTPPacket from ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00): Cannot start a packet with a CONSECUTIVE frame

Processing 0x76c ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00)
Appending CONSECUTIVE frame to packet on 0x76c
Finished packet on 0x76c

Processing 0x76c ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00)
Error creating ISOTPPacket from ISOTPFrame.Consecutive(index=3, data=\x00\x00\x00\x00\x00\x00\x00): Cannot start a packet with a CONSECUTIVE frame

Processing 0x7e3 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7e3
Finished packet on 0x7e3

Processing 0x7e3 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7e3
Finished packet on 0x7e3

Processing 0x7e3 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7e3
Finished packet on 0x7e3

Processing 0x7e3 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7e3
Finished packet on 0x7e3

Processing 0x7e3 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7e3
Finished packet on 0x7e3

Processing 0x7e3 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7e3
Finished packet on 0x7e3

Processing 0x7e3 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7e3
Finished packet on 0x7e3

Processing 0x7e3 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7e3
Finished packet on 0x7e3

Processing 0x7e3 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7e3
Finished packet on 0x7e3

Processing 0x7c6 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7c6
Finished packet on 0x7c6

Processing 0x7c6 ISOTPFrame.Single(size=3, data=\x22\x02\x00)
Starting new packet for 0x7c6
